"","Distance_to_centroid","date","cage","herbivory","coral","treatment","is.neg","Samples"
"A4_3x3_A3",0.288093828060707,"Jul22","A4","3x3","A3","Ambient",FALSE,"A4_3x3_A3"
"A4_1x1_A3",0.206125924091979,"Jul22","A4","1x1","A3","Ambient",FALSE,"A4_1x1_A3"
"B1_3x3_A11",0.144377659083159,"Jul22","B1","3x3","A11","Enriched",FALSE,"B1_3x3_A11"
"B1_2x2_A6",0.102598939458665,"Jul22","B1","2x2","A6","Enriched",FALSE,"B1_2x2_A6"
"D1_3x3_A1",0.276530489492618,"Jul22","D1","3x3","A1","Ambient",FALSE,"D1_3x3_A1"
"B1_3x3_A18",0.130123698714191,"Jul22","B1","3x3","A18","Enriched",FALSE,"B1_3x3_A18"
"B1_1x1_A8",0.0958578602218292,"Jul22","B1","1x1","A8","Enriched",FALSE,"B1_1x1_A8"
"D1_Open_A5",0.278291694851987,"Jul22","D1","Open","A5","Ambient",FALSE,"D1_Open_A5"
"B1_3x3_A5",0.110438589740997,"Jul22","B1","3x3","A5","Enriched",FALSE,"B1_3x3_A5"
"B1_2x2_A4",0.804296655504529,"Jul22","B1","2x2","A4","Enriched",FALSE,"B1_2x2_A4"
"B1_3x3_A8",0.115831827491818,"Jul22","B1","3x3","A8","Enriched",FALSE,"B1_3x3_A8"
"B1_2x2_A7",0.258696426418316,"Jul22","B1","2x2","A7","Enriched",FALSE,"B1_2x2_A7"
"C2_1x1_P5",0.683823413331306,"Jul22","C2","1x1","P5","Ambient",FALSE,"C2_1x1_P5"
"D1_Open_A1",0.292966549667011,"Jul22","D1","Open","A1","Ambient",FALSE,"D1_Open_A1"
"B1_2x2_A5",0.112950241804158,"Jul22","B1","2x2","A5","Enriched",FALSE,"B1_2x2_A5"
"D1_Open_A3",0.521572456222624,"Jul22","D1","Open","A3","Ambient",FALSE,"D1_Open_A3"
"B1_3x3_A6",0.105077928878356,"Jul22","B1","3x3","A6","Enriched",FALSE,"B1_3x3_A6"
"D1_Open_A6",0.193625810039984,"Jul22","D1","Open","A6","Ambient",FALSE,"D1_Open_A6"
"D1_3x3_A7",0.194341440275948,"Jul22","D1","3x3","A7","Ambient",FALSE,"D1_3x3_A7"
"D1_3x3_A4",0.630750329429218,"Jul22","D1","3x3","A4","Ambient",FALSE,"D1_3x3_A4"
"C2_Open_A4",0.192182240550263,"Jul22","C2","Open","A4","Ambient",FALSE,"C2_Open_A4"
"C2_1x1_A3",0.246134192297184,"Jul22","C2","1x1","A3","Ambient",FALSE,"C2_1x1_A3"
"C2_2x2_A2_1",0.678288654721107,"Jul22","C2","2x2","A2","Ambient",FALSE,"C2_2x2_A2_1"
"D1_1x1_A4",0.285955281788855,"Jul22","D1","1x1","A4","Ambient",FALSE,"D1_1x1_A4"
"C2_Open_A1",0.225966863998751,"Jul22","C2","Open","A1","Ambient",FALSE,"C2_Open_A1"
"B1_3x3_A3_questionmark",0.537982823344961,"Jul22","B1","3x3","A3","Enriched",FALSE,"B1_3x3_A3_questionmark"
"B1_1x1_A3",0.115809582028908,"Jul22","B1","1x1","A3","Enriched",FALSE,"B1_1x1_A3"
"C2_Open_A7",0.669247185234607,"Jul22","C2","Open","A7","Ambient",FALSE,"C2_Open_A7"
"C2_Open_A2",0.436660209876296,"Jul22","C2","Open","A2","Ambient",FALSE,"C2_Open_A2"
"D1_Open_A2",0.717639060329031,"Jul22","D1","Open","A2","Ambient",FALSE,"D1_Open_A2"
"B1_3x3_A9",0.134713980876296,"Jul22","B1","3x3","A9","Enriched",FALSE,"B1_3x3_A9"
"D1_1x1_A2",0.342433899692301,"Jul22","D1","1x1","A2","Ambient",FALSE,"D1_1x1_A2"
"B1_3x3_A13",0.148033880783083,"Jul22","B1","3x3","A13","Enriched",FALSE,"B1_3x3_A13"
"B1_1x1_A2",0.573308826867621,"Jul22","B1","1x1","A2","Enriched",FALSE,"B1_1x1_A2"
"B1_2x2_A8",0.831365049106768,"Jul22","B1","2x2","A8","Enriched",FALSE,"B1_2x2_A8"
"B1_1x1_A1",0.726016221769559,"Jul22","B1","1x1","A1","Enriched",FALSE,"B1_1x1_A1"
"B2_1x1_A4",0.190762909437221,"Jul22","B2","1x1","A4","Ambient",FALSE,"B2_1x1_A4"
"B2_1x1_A15",0.546810128212108,"Jul22","B2","1x1","A15","Ambient",FALSE,"B2_1x1_A15"
"B2_1x1_A9",0.532622680694295,"Jul22","B2","1x1","A9","Ambient",FALSE,"B2_1x1_A9"
"B2_1x1_A8",0.2678309844454,"Jul22","B2","1x1","A8","Ambient",FALSE,"B2_1x1_A8"
"B2_1x1_A7",0.571549935396949,"Jul22","B2","1x1","A7","Ambient",FALSE,"B2_1x1_A7"
"B2_3x3_A6_1",0.26779873344382,"Jul22","B2","3x3","A6","Ambient",FALSE,"B2_3x3_A6_1"
"B2_1x1_A2",0.271551384332357,"Jul22","B2","1x1","A2","Ambient",FALSE,"B2_1x1_A2"
"B2_1x1_A3",0.705110545373139,"Jul22","B2","1x1","A3","Ambient",FALSE,"B2_1x1_A3"
