"","Kingdom","Phylum","Class","Order","Family","Genus","Species",""
"ASV5399","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","Maricurvus","NA","ASV5399"
"ASV2248","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","NA","NA","ASV2248"
"ASV3350","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","NA","NA","ASV3350"
"ASV3082","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Litoricolaceae","Litoricola","NA","ASV3082"
"ASV5332","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Litoricolaceae","Litoricola","NA","ASV5332"
"ASV235","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Litoricolaceae","Litoricola","NA","ASV235"
"ASV7362","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","NA","NA","NA","ASV7362"
"ASV2594","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Porticoccaceae","C1-B045","NA","ASV2594"
"ASV398","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Porticoccaceae","C1-B045","NA","ASV398"
"ASV4094","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Porticoccaceae","C1-B045","NA","ASV4094"
"ASV3252","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Porticoccaceae","C1-B045","NA","ASV3252"
"ASV925","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Porticoccaceae","C1-B045","NA","ASV925"
"ASV290","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Porticoccaceae","C1-B045","NA","ASV290"
"ASV3300","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Porticoccaceae","C1-B045","NA","ASV3300"
"ASV3487","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Porticoccaceae","C1-B045","NA","ASV3487"
