"","Distance_to_centroid","date","cage","herbivory","coral","treatment","is.neg","Samples"
"C4_3x3_A7",0.0457406797595847,"Jul22","C4","3x3","A7","Enriched",FALSE,"C4_3x3_A7"
"D3_Open_A3",0.729768775482445,"Jul22","D3","Open","A3","Enriched",FALSE,"D3_Open_A3"
"C4_1x1_A7",0.0610024567825309,"Jul22","C4","1x1","A7","Enriched",FALSE,"C4_1x1_A7"
"D3_1x1_A13",0.0567906166725233,"Jul22","D3","1x1","A13","Enriched",FALSE,"D3_1x1_A13"
"D3_2x2_A3",0.0877292944876782,"Jul22","D3","2x2","A3","Enriched",FALSE,"D3_2x2_A3"
"D3_3x3_A1",0.055751165631324,"Jul22","D3","3x3","A1","Enriched",FALSE,"D3_3x3_A1"
"C4_1x1_A12",0.180043076503039,"Jul22","C4","1x1","A12","Enriched",FALSE,"C4_1x1_A12"
"D3_Open_A6",0.156341808003982,"Jul22","D3","Open","A6","Enriched",FALSE,"D3_Open_A6"
"C4_1x1_A1",0.0722153542441461,"Jul22","C4","1x1","A1","Enriched",FALSE,"C4_1x1_A1"
"D3_1x1_A3",0.0664781060398901,"Jul22","D3","1x1","A3","Enriched",FALSE,"D3_1x1_A3"
"C4_1x1_A8",0.0524390733448308,"Jul22","C4","1x1","A8","Enriched",FALSE,"C4_1x1_A8"
"C4_3x3_A2",0.0492676754680474,"Jul22","C4","3x3","A2","Enriched",FALSE,"C4_3x3_A2"
"C4_Open_A2",0.310359040352329,"Jul22","C4","Open","A2","Enriched",FALSE,"C4_Open_A2"
"C4_1x1_A3",0.0546122444684717,"Jul22","C4","1x1","A3","Enriched",FALSE,"C4_1x1_A3"
"D3_Open_A13",0.0814301650570446,"Jul22","D3","Open","A13","Enriched",FALSE,"D3_Open_A13"
"A3_Open_A8",0.438881184193298,"Jul22","A3","Open","A8","Enriched",FALSE,"A3_Open_A8"
"A4_1x1_A10",0.330355558273647,"Jul22","A4","1x1","A10","Ambient",FALSE,"A4_1x1_A10"
"A3_2x2_A3",0.0805807911758906,"Jul22","A3","2x2","A3","Enriched",FALSE,"A3_2x2_A3"
"A3_2x2_A8",0.0761149845604667,"Jul22","A3","2x2","A8","Enriched",FALSE,"A3_2x2_A8"
"A3_Open_A5",0.883023885253998,"Jul22","A3","Open","A5","Enriched",FALSE,"A3_Open_A5"
"A3_2x2_A1",0.192781107016653,"Jul22","A3","2x2","A1","Enriched",FALSE,"A3_2x2_A1"
"A3_1x1_A6",0.0540385337821707,"Jul22","A3","1x1","A6","Enriched",FALSE,"A3_1x1_A6"
"A3_1x1_A4",0.0570028817247034,"Jul22","A3","1x1","A4","Enriched",FALSE,"A3_1x1_A4"
"A3_2x2_A2",0.180290789378926,"Jul22","A3","2x2","A2","Enriched",FALSE,"A3_2x2_A2"
"A3_3x3_A6",0.597485300169986,"Jul22","A3","3x3","A6","Enriched",FALSE,"A3_3x3_A6"
"A3_3x3_A4",0.051758753716431,"Jul22","A3","3x3","A4","Enriched",FALSE,"A3_3x3_A4"
"A3_1x1_A5",0.0654612163909409,"Jul22","A3","1x1","A5","Enriched",FALSE,"A3_1x1_A5"
"A4_1x1_A6",0.669508226668605,"Jul22","A4","1x1","A6","Ambient",FALSE,"A4_1x1_A6"
"A3_Open_A1",0.0783243010272063,"Jul22","A3","Open","A1","Enriched",FALSE,"A3_Open_A1"
"A4_Open_A5",0.0730630532426989,"Jul22","A4","Open","A5","Ambient",FALSE,"A4_Open_A5"
"A3_Open_A3",0.0848480926283639,"Jul22","A3","Open","A3","Enriched",FALSE,"A3_Open_A3"
