"","Distance_to_centroid","date","cage","herbivory","coral","treatment","is.neg","Samples"
"C2_1x1_A3",0.161909980327569,"Jul22","C2","1x1","A3","Ambient",FALSE,"C2_1x1_A3"
"C2_2x2_A2_1",0.714623437877082,"Jul22","C2","2x2","A2","Ambient",FALSE,"C2_2x2_A2_1"
"D1_1x1_A4",0.196452842656665,"Jul22","D1","1x1","A4","Ambient",FALSE,"D1_1x1_A4"
"C2_Open_A1",0.16832596700031,"Jul22","C2","Open","A1","Ambient",FALSE,"C2_Open_A1"
"B1_3x3_A3_questionmark",0.514147117743918,"Jul22","B1","3x3","A3","Enriched",FALSE,"B1_3x3_A3_questionmark"
"B1_1x1_A3",0.180798505224082,"Jul22","B1","1x1","A3","Enriched",FALSE,"B1_1x1_A3"
"C2_Open_A7",0.72102543227655,"Jul22","C2","Open","A7","Ambient",FALSE,"C2_Open_A7"
"C2_Open_A2",0.464544083583224,"Jul22","C2","Open","A2","Ambient",FALSE,"C2_Open_A2"
"D1_Open_A2",0.75216370937342,"Jul22","D1","Open","A2","Ambient",FALSE,"D1_Open_A2"
"B1_3x3_A9",0.148285073590859,"Jul22","B1","3x3","A9","Enriched",FALSE,"B1_3x3_A9"
"D1_1x1_A2",0.377307927586488,"Jul22","D1","1x1","A2","Ambient",FALSE,"D1_1x1_A2"
"B1_3x3_A13",0.161952727189186,"Jul22","B1","3x3","A13","Enriched",FALSE,"B1_3x3_A13"
"B1_1x1_A2",0.508401057348259,"Jul22","B1","1x1","A2","Enriched",FALSE,"B1_1x1_A2"
"B1_2x2_A8",0.755315835960205,"Jul22","B1","2x2","A8","Enriched",FALSE,"B1_2x2_A8"
"B1_1x1_A1",0.662323531686679,"Jul22","B1","1x1","A1","Enriched",FALSE,"B1_1x1_A1"
"B2_1x1_A4",0.163758666458481,"Jul22","B2","1x1","A4","Ambient",FALSE,"B2_1x1_A4"
"B2_1x1_A15",0.61287425939328,"Jul22","B2","1x1","A15","Ambient",FALSE,"B2_1x1_A15"
"B2_1x1_A9",0.582510852809112,"Jul22","B2","1x1","A9","Ambient",FALSE,"B2_1x1_A9"
"B2_1x1_A8",0.178049504881726,"Jul22","B2","1x1","A8","Ambient",FALSE,"B2_1x1_A8"
"B2_1x1_A7",0.64422861717722,"Jul22","B2","1x1","A7","Ambient",FALSE,"B2_1x1_A7"
"B2_3x3_A6_1",0.258303103722411,"Jul22","B2","3x3","A6","Ambient",FALSE,"B2_3x3_A6_1"
"B2_1x1_A2",0.183149561420182,"Jul22","B2","1x1","A2","Ambient",FALSE,"B2_1x1_A2"
"B2_1x1_A3",0.761874790066524,"Jul22","B2","1x1","A3","Ambient",FALSE,"B2_1x1_A3"
