"","Kingdom","Phylum","Class","Order","Family","Genus","Species",""
"ASV747","Bacteria","Margulisbacteria","Margulisbacteria Phylum","Margulisbacteria Phylum","Margulisbacteria Phylum",NA,NA,NA
"ASV1868","Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae",NA,NA,NA
"ASV1221","Bacteria","Planctomycetota","Phycisphaerae","MSBL9","SG8-4",NA,NA,NA
"ASV670","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae",NA,NA,NA
"ASV1619","Bacteria","Planctomycetota","Phycisphaerae","mle1-8","mle1-8 Order",NA,NA,NA
"ASV4843","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerae Class","Phycisphaerae Class",NA,NA,NA
"ASV2800","Bacteria","Planctomycetota","Phycisphaerae","CCM11a","CCM11a Order",NA,NA,NA
"ASV3781","Bacteria","Planctomycetota","028H05-P-BN-P5","028H05-P-BN-P5 Class","028H05-P-BN-P5 Class",NA,NA,NA
"ASV1420","Bacteria","Planctomycetota","OM190","OM190 Class","OM190 Class",NA,NA,NA
"ASV2924","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae",NA,NA,NA
"ASV94","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA,NA
"ASV440","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Planctomycetales Order",NA,NA,NA
"ASV295","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae",NA,NA,NA
"ASV716","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Gimesiaceae",NA,NA,NA
"ASV3591","Bacteria","Planctomycetota","Planctomycetota Phylum","Planctomycetota Phylum","Planctomycetota Phylum",NA,NA,NA
"ASV2877","Bacteria","Planctomycetota","Pla4 lineage","Pla4 lineage Class","Pla4 lineage Class",NA,NA,NA
"ASV5121","Bacteria","Planctomycetota","vadinHA49","vadinHA49 Class","vadinHA49 Class",NA,NA,NA
"ASV770","Bacteria","Planctomycetota","BD7-11","BD7-11 Class","BD7-11 Class",NA,NA,NA
"ASV1730","Bacteria","Planctomycetota","Pla3 lineage","Pla3 lineage Class","Pla3 lineage Class",NA,NA,NA
"ASV1028","Bacteria","Acidobacteriota","Subgroup 22","Subgroup 22 Class","Subgroup 22 Class",NA,NA,NA
"ASV1665","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacterales Order",NA,NA,NA
"ASV587","Bacteria","Acidobacteriota","Vicinamibacteria","Subgroup 9","Subgroup 9 Order",NA,NA,NA
"ASV5321","Bacteria","Methylomirabilota","Methylomirabilia","Methylomirabilales","Methylomirabilaceae",NA,NA,NA
"ASV2151","Bacteria","Firmicutes","Thermoanaerobacteria","Thermoanaerobacterales","Family III",NA,NA,NA
"ASV4307","Bacteria","Firmicutes","Thermoanaerobacteria","Thermoanaerobacterales","Thermoanaerobacteraceae",NA,NA,NA
"ASV2053","Bacteria","Acidobacteriota","Holophagae","Acanthopleuribacterales","Acanthopleuribacteraceae",NA,NA,NA
"ASV1743","Bacteria","Firmicutes","Thermoanaerobacteria","Caldicellulosiruptorales","Caldicellulosiraptoraceae",NA,NA,NA
"ASV3622","Bacteria","Acidobacteriota","Subgroup 26","Subgroup 26 Class","Subgroup 26 Class",NA,NA,NA
"ASV5468","Bacteria","Gemmatimonadota","BD2-11 terrestrial group","BD2-11 terrestrial group Class","BD2-11 terrestrial group Class",NA,NA,NA
"ASV3220","Bacteria","PAUC34f","PAUC34f Phylum","PAUC34f Phylum","PAUC34f Phylum",NA,NA,NA
"ASV2805","Bacteria","Poribacteria","Poribacteria Phylum","Poribacteria Phylum","Poribacteria Phylum",NA,NA,NA
"ASV2708","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Chlamydiales Order",NA,NA,NA
"ASV7629","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Chlamydiaceae",NA,NA,NA
"ASV7","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Simkaniaceae",NA,NA,NA
"ASV3606","Bacteria","Acidobacteriota","Subgroup 21","Subgroup 21 Class","Subgroup 21 Class",NA,NA,NA
"ASV1025","Bacteria","Latescibacterota","Latescibacterota Phylum","Latescibacterota Phylum","Latescibacterota Phylum",NA,NA,NA
"ASV3734","Bacteria","Elusimicrobiota","Lineage IIb","Lineage IIb Class","Lineage IIb Class",NA,NA,NA
"ASV1801","Bacteria","Sumerlaeota","Sumerlaeia","Sumerlaeales","Sumerlaeaceae",NA,NA,NA
"ASV7426","Bacteria","Chloroflexi","Anaerolineae","Ardenticatenales","Ardenticatenaceae",NA,NA,NA
"ASV4752","Bacteria","Chloroflexi","TK17","TK17 Class","TK17 Class",NA,NA,NA
