"","Kingdom","Phylum","Class","Order","Family","Genus","Species",""
"ASV1159","Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae",NA,NA,NA
"ASV98","Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","SCGC AAA286-E23",NA,NA,NA
"ASV523","Bacteria","Chloroflexi","Dehalococcoidia","SAR202 clade","NA",NA,NA,NA
"ASV747","Bacteria","Margulisbacteria","NA","NA","NA",NA,NA,NA
"ASV1868","Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae",NA,NA,NA
"ASV687","Bacteria","Acidobacteriota","Subgroup 22","NA","NA",NA,NA,NA
"ASV5803","Bacteria","Acidobacteriota","Vicinamibacteria","Subgroup 17","NA",NA,NA,NA
"ASV4850","Bacteria","Modulibacteria","Moduliflexia","Moduliflexales","Moduliflexaceae",NA,NA,NA
"ASV1221","Bacteria","Planctomycetota","Phycisphaerae","MSBL9","SG8-4",NA,NA,NA
"ASV921","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae",NA,NA,NA
"ASV4759","Bacteria","Planctomycetota","Phycisphaerae","MSBL9","SM23-30",NA,NA,NA
"ASV1776","Bacteria","Planctomycetota","Phycisphaerae","mle1-8","NA",NA,NA,NA
"ASV4843","Bacteria","Planctomycetota","Phycisphaerae","C86","NA",NA,NA,NA
"ASV4240","Bacteria","Planctomycetota","Phycisphaerae","CCM11a","NA",NA,NA,NA
"ASV1140","Bacteria","Planctomycetota","028H05-P-BN-P5","NA","NA",NA,NA,NA
"ASV2924","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae",NA,NA,NA
"ASV7458","Bacteria","Planctomycetota","Planctomycetes","NA","NA",NA,NA,NA
"ASV94","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA,NA
"ASV440","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","NA",NA,NA,NA
"ASV295","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae",NA,NA,NA
"ASV716","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Gimesiaceae",NA,NA,NA
"ASV2877","Bacteria","Planctomycetota","Pla4 lineage","NA","NA",NA,NA,NA
"ASV2505","Bacteria","Planctomycetota","vadinHA49","NA","NA",NA,NA,NA
"ASV1814","Bacteria","Planctomycetota","NA","NA","NA",NA,NA,NA
"ASV2354","Bacteria","Planctomycetota","BD7-11","NA","NA",NA,NA,NA
"ASV2930","Bacteria","Planctomycetota","Pla3 lineage","NA","NA",NA,NA,NA
"ASV587","Bacteria","Acidobacteriota","Vicinamibacteria","Subgroup 9","NA",NA,NA,NA
"ASV2151","Bacteria","Firmicutes","Thermoanaerobacteria","Thermoanaerobacterales","Family III",NA,NA,NA
"ASV2053","Bacteria","Acidobacteriota","Holophagae","Acanthopleuribacterales","Acanthopleuribacteraceae",NA,NA,NA
"ASV1743","Bacteria","Firmicutes","Thermoanaerobacteria","Caldicellulosiruptorales","Caldicellulosiraptoraceae",NA,NA,NA
"ASV3618","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae",NA,NA,NA
"ASV4548","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA,NA,NA
"ASV3272","Bacteria","Acidobacteriota","Subgroup 26","NA","NA",NA,NA,NA
"ASV7860","Bacteria","Gemmatimonadota","PAUC43f marine benthic group","NA","NA",NA,NA,NA
"ASV2094","Bacteria","Gemmatimonadota","BD2-11 terrestrial group","NA","NA",NA,NA,NA
"ASV2264","Bacteria","PAUC34f","NA","NA","NA",NA,NA,NA
"ASV7","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Simkaniaceae",NA,NA,NA
"ASV5750","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Chlamydiaceae",NA,NA,NA
"ASV7475","Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","NA",NA,NA,NA
"ASV3264","Bacteria","Verrucomicrobiota","Chlamydiae","LD1-PA32","NA",NA,NA,NA
"ASV3606","Bacteria","Acidobacteriota","Subgroup 21","NA","NA",NA,NA,NA
"ASV1877","Bacteria","Latescibacterota","NA","NA","NA",NA,NA,NA
"ASV2671","Bacteria","Latescibacterota","Latescibacteria","Latescibacterales","Latescibacteraceae",NA,NA,NA
"ASV7781","Bacteria","Elusimicrobiota","Lineage IIb","NA","NA",NA,NA,NA
"ASV1801","Bacteria","Sumerlaeota","Sumerlaeia","Sumerlaeales","Sumerlaeaceae",NA,NA,NA
"ASV2695","Bacteria","Entotheonellaeota","Entotheonellia","Entotheonellales","Entotheonellaceae",NA,NA,NA
"ASV4093","Bacteria","Chloroflexi","Anaerolineae","Ardenticatenales","Ardenticatenaceae",NA,NA,NA
"ASV5270","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae",NA,NA,NA
"ASV2305","Bacteria","Chloroflexi","Anaerolineae","SBR1031","NA",NA,NA,NA
"ASV379","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA,NA,NA
"ASV168","Bacteria","Chloroflexi","Anaerolineae","Ardenticatenales","NA",NA,NA,NA
"ASV4819","Bacteria","Chloroflexi","KD4-96","NA","NA",NA,NA,NA
"ASV4919","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae",NA,NA,NA
"ASV1202","Bacteria","Acidobacteriota","Acidobacteriae","PAUC26f","NA",NA,NA,NA
"ASV5564","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae",NA,NA,NA
"ASV5260","Bacteria","Nitrospirota","Thermodesulfovibrionia","Magnetobacteriales","Magnetobacteriaceae",NA,NA,NA
"ASV704","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae",NA,NA,NA
"ASV2649","Bacteria","Verrucomicrobiota","Lentisphaeria","Lentisphaerales","Lentisphaeraceae",NA,NA,NA
"ASV417","Bacteria","Verrucomicrobiota","Lentisphaeria","Victivallales","PRD18C08",NA,NA,NA
"ASV1954","Bacteria","Verrucomicrobiota","Lentisphaeria","Victivallales","NA",NA,NA,NA
"ASV2171","Bacteria","Verrucomicrobiota","Lentisphaeria","Victivallales","BD2-3",NA,NA,NA
"ASV728","Bacteria","Verrucomicrobiota","NA","NA","NA",NA,NA,NA
"ASV625","Bacteria","Verrucomicrobiota","Lentisphaeria","SS1-B-02-17","NA",NA,NA,NA
"ASV1348","Bacteria","Verrucomicrobiota","Lentisphaeria","P.palmC41","NA",NA,NA,NA
"ASV797","Bacteria","Verrucomicrobiota","Kiritimatiellae","Kiritimatiellales","Kiritimatiellaceae",NA,NA,NA
